idx,score,label,flag,thr_stream,lat_ms
431,0.469355,0,0,0.757993,7.25489
432,0.469355,0,0,0.757993,7.12314
433,0.469355,0,0,0.757993,8.02317
434,0.469355,0,0,0.757993,7.15973
435,0.469355,0,0,0.757993,7.26377
436,0.469355,0,0,0.757993,7.15189
437,0.469355,0,0,0.757993,7.28397
438,0.757993,1,0,0.757993,7.03089
439,0.469355,0,0,0.757993,7.03216
440,0.469355,0,0,0.757993,7.69759
441,0.469355,0,0,0.757993,6.99983
442,0.469355,0,0,0.757993,7.0966
443,0.469355,0,0,0.757993,7.09791
444,0.469355,0,0,0.757993,7.49148
445,0.469355,0,0,0.757993,7.16003
446,0.469355,0,0,0.757993,6.95163
447,0.469355,0,0,0.757993,7.3873
448,0.469355,0,0,0.757993,7.11133
449,0.469355,0,0,0.757993,7.623
450,0.469355,0,0,0.757993,7.1442
451,0.469355,0,0,0.757993,7.52243
452,0.469355,0,0,0.757993,6.94929
453,0.469355,0,0,0.757993,7.45846
454,0.469355,0,0,0.757993,7.06464
455,0.469355,0,0,0.757993,6.98999
456,0.469355,0,0,0.757993,7.36589
457,0.469355,0,0,0.757993,6.9954
458,0.469355,0,0,0.757993,7.61451
459,0.469355,0,0,0.757993,7.11461
460,0.469355,0,0,0.757993,7.14457
461,0.469355,0,0,0.757993,6.92478
462,0.469355,0,0,0.757993,7.2697
463,0.469355,0,0,0.757993,7.2599
464,0.469355,0,0,0.757993,6.91776
465,0.469355,0,0,0.757993,8.07547
466,0.469355,0,0,0.757993,7.2022
467,0.469355,0,0,0.757993,7.79191
468,0.469355,0,0,0.757993,7.45451
469,0.469355,0,0,0.757993,7.26346
470,0.469355,0,0,0.757993,7.00315
471,0.469355,0,0,0.757993,7.2954
472,0.469355,0,0,0.757993,7.24085
473,0.469355,0,0,0.757993,7.06506
474,0.469355,0,0,0.757993,7.25318
475,0.469355,0,0,0.757993,7.11477
476,0.469355,0,0,0.757993,7.29105
477,0.469355,0,0,0.757993,7.06304
478,0.469355,0,0,0.757993,7.19181
479,0.469355,0,0,0.757993,7.38432
480,0.469355,0,0,0.757993,7.13811
481,0.469355,0,0,0.757993,7.66424
482,0.469355,0,0,0.757993,7.0338
483,0.469355,0,0,0.757993,8.36611
484,0.757993,1,0,0.757993,7.16593
485,0.469355,0,0,0.757993,7.14047
486,0.469355,0,0,0.757993,6.98245
487,0.469355,0,0,0.757993,7.60196
488,0.469355,0,0,0.757993,7.0995
489,0.469355,0,0,0.757993,7.09218
490,0.469355,0,0,0.757993,7.4439
491,0.469355,0,0,0.757993,7.06705
492,0.469355,0,0,0.757993,7.58101
493,0.469355,0,0,0.757993,7.22723
494,0.469355,0,0,0.757993,7.31234
495,0.469355,0,0,0.757993,7.12118
496,0.469355,0,0,0.757993,7.40474
497,0.469355,0,0,0.757993,7.60289
498,0.469355,0,0,0.757993,7.32799
499,0.469355,0,0,0.757993,7.25603
500,0.469355,0,0,0.757993,6.957
501,0.469355,0,0,0.757993,7.78594
502,0.469355,0,0,0.757993,7.189
503,0.469355,0,0,0.757993,7.30898
504,0.469355,0,0,0.757993,7.03267
505,0.469355,0,0,0.757993,7.13032
506,0.757993,1,0,0.757993,7.13456
507,0.469355,0,0,0.757993,7.13629
508,0.469355,0,0,0.757993,7.4641
509,0.469355,0,0,0.757993,6.94943
510,0.469355,0,0,0.757993,7.31107
511,0.469355,0,0,0.757993,7.01244
512,0.469355,0,0,0.757993,7.09928
513,0.469355,0,0,0.757993,8.02942
514,0.469355,0,0,0.757993,7.14678
515,0.469355,0,0,0.757993,7.12365
516,0.469355,0,0,0.757993,7.16503
517,0.469355,0,0,0.757993,7.13656
518,0.469355,0,0,0.757993,7.04412
519,0.469355,0,0,0.757993,7.36933
520,0.469355,0,0,0.757993,7.65871
521,0.469355,0,0,0.757993,7.21179
522,0.757993,1,0,0.757993,7.17308
523,0.469355,0,0,0.757993,7.0602
524,0.469355,0,0,0.757993,7.10659
525,0.469355,0,0,0.757993,7.13
526,0.469355,0,0,0.757993,7.44732
527,0.469355,0,0,0.757993,7.22104
528,0.469355,0,0,0.757993,7.56176
529,0.469355,0,0,0.757993,7.30879
530,0.469355,0,0,0.757993,7.13332
531,0.469355,0,0,0.757993,7.40753
532,0.469355,0,0,0.757993,7.05673
533,0.469355,0,0,0.757993,7.34521
534,0.469355,0,0,0.757993,6.986
535,0.469355,0,0,0.757993,7.68049
536,0.757993,1,0,0.757993,7.02372
537,0.469355,0,0,0.757993,7.82308
538,0.469355,0,0,0.757993,7.14607
539,0.469355,0,0,0.757993,6.98965
540,0.469355,0,0,0.757993,7.35724
541,0.469355,0,0,0.757993,7.16046
542,0.469355,0,0,0.757993,7.64155
543,0.469355,0,0,0.757993,7.39279
544,0.469355,0,0,0.757993,7.36404
545,0.469355,0,0,0.757993,6.98918
546,0.469355,0,0,0.757993,7.32475
547,0.469355,0,0,0.757993,6.98953
548,0.469355,0,0,0.757993,7.19745
549,0.469355,0,0,0.757993,7.28508
550,0.469355,0,0,0.757993,7.20119
551,0.469355,0,0,0.757993,7.20815
552,0.469355,0,0,0.757993,7.12119
553,0.469355,0,0,0.757993,7.27182
554,0.469355,0,0,0.757993,6.97283
555,0.469355,0,0,0.757993,7.32043
556,0.469355,0,0,0.757993,7.16738
557,0.469355,0,0,0.757993,7.11031
558,0.469355,0,0,0.757993,7.294
559,0.469355,0,0,0.757993,7.0965
560,0.469355,0,0,0.757993,7.59113
561,0.469355,0,0,0.757993,7.16816
562,0.469355,0,0,0.757993,7.53258
563,0.469355,0,0,0.757993,6.95812
564,0.757993,1,0,0.757993,7.17535
565,0.469355,0,0,0.757993,7.37088
566,0.469355,0,0,0.757993,7.19616
567,0.469355,0,0,0.757993,7.26272
568,0.757993,1,0,0.757993,7.21448
569,0.469355,0,0,0.757993,7.15071
570,0.469355,0,0,0.757993,7.21716
